Dates,Open,Close,High,Low,Volume
9/18/2020 9:30,3031.74,3028.58,3037.8,3023,501247
9/18/2020 9:31,3027.73,3018.66,3029,3018.26,11734
9/18/2020 9:32,3018.87,3023.86,3027.58,3017.88,11149
9/18/2020 9:33,3021.67,3024.58,3026.3,3018,10323
9/18/2020 9:34,3022.75,3016.9,3024.58,3012.78,9246
9/18/2020 9:35,3017.8,3019.04,3023.99,3017.8,11124
9/18/2020 9:36,3016.1,3013.2,3020.77,3013.2,6080
9/18/2020 9:37,3014.99,3019,3020.28,3014.99,4506
9/18/2020 9:38,3020,3021.07,3022,3017.74,5997
9/18/2020 9:39,3019.01,3011.94,3019.01,3011.94,7993
9/18/2020 9:40,3012.56,3012.02,3017.3,3008.02,10556
9/18/2020 9:41,3016.7,3013.36,3017.68,3011.28,4919
9/18/2020 9:42,3015.42,3017.39,3017.91,3015.42,4662
9/18/2020 9:43,3017.29,3016.25,3019,3014.39,3485
9/18/2020 9:44,3017.34,3017.61,3019.92,3016.5,6642
9/18/2020 9:45,3017.01,3008.62,3017.2,3007.22,5509
9/18/2020 9:46,3011.11,3007.79,3011.11,3005.01,7274
9/18/2020 9:47,3005.68,3000.96,3005.68,2998,16236
9/18/2020 9:48,3003.38,2999.03,3003.73,2997.97,6309
9/18/2020 9:49,2999.07,3001.58,3002,2998.6,7530
9/18/2020 9:50,2999.56,2993.53,3000.46,2992.51,6303
9/18/2020 9:51,2993.11,3001.72,3002,2992.08,7230
9/18/2020 9:52,3001.87,3000.5,3003.37,2998,5250
9/18/2020 9:53,3000.63,3003.35,3005.03,2999.25,3105
9/18/2020 9:54,3003,3006.97,3007.19,3002.71,4075
9/18/2020 9:55,3005.81,3004.83,3006.36,3003,4893
9/18/2020 9:56,3007,3006.02,3007.4,3004,3530
9/18/2020 9:57,3005,2999.31,3005.33,2999.31,4472
9/18/2020 9:58,2999.92,3001,3001,2996.41,4245
9/18/2020 9:59,3000.79,3003.32,3003.32,2999.56,3890
9/18/2020 10:00,3005,3009.46,3010.5,3004.94,7433
9/18/2020 10:01,3010.52,3010.04,3012.25,3008.76,7756
9/18/2020 10:02,3009.18,3006.35,3009.83,3005.06,3269
9/18/2020 10:03,3006.28,3013.8,3014.72,3006,6147
9/18/2020 10:04,3012.85,3012.33,3014.75,3010.5,3557
9/18/2020 10:05,3012.65,3011,3013.99,3010.7,4113
9/18/2020 10:06,3010.71,3009.42,3010.83,3008.71,3687
9/18/2020 10:07,3009.81,3009.3,3011.99,3009.3,3967
9/18/2020 10:08,3009.42,3012.27,3013.5,3009.42,4895
9/18/2020 10:09,3012.28,3012.94,3015.25,3010.11,8927
9/18/2020 10:10,3012.94,3007.51,3012.94,3007.05,2783
9/18/2020 10:11,3008,3005.65,3009.64,3005.06,5771
9/18/2020 10:12,3006.26,3005.86,3007.56,3002.44,5983
9/18/2020 10:13,3004.19,3009.31,3009.31,3003.23,2620
9/18/2020 10:14,3008.72,3010.65,3011.04,3008.72,3800
9/18/2020 10:15,3011.19,3013.38,3014.44,3011.11,5534
9/18/2020 10:16,3014.42,3021.41,3021.53,3014.03,14980
9/18/2020 10:17,3020.03,3017.54,3020.03,3016.3,8315
9/18/2020 10:18,3017.09,3013.86,3017.89,3012.89,2750
9/18/2020 10:19,3013.93,3007,3013.93,3005,7550
9/18/2020 10:20,3006.59,3004.3,3006.66,3004.3,3955
9/18/2020 10:21,3005.45,3004.21,3008.01,3003.58,5405
9/18/2020 10:22,3003.91,3002.94,3003.91,2996.83,11605
9/18/2020 10:23,3001.41,3002.84,3004.19,2999.91,7501
9/18/2020 10:24,3003.06,3004.62,3006.32,3002.62,5847
9/18/2020 10:25,3004,2997,3005,2996.51,7311
9/18/2020 10:26,2997.33,2997.75,2999.22,2994.27,4975
9/18/2020 10:27,2996.55,2996.82,2998.34,2994.88,5003
9/18/2020 10:28,2995.41,2990.89,2995.41,2988.93,16730
9/18/2020 10:29,2991.92,2994.7,2997.69,2991.84,6917
9/18/2020 10:30,2994.96,2990.43,2994.96,2988.01,9242
9/18/2020 10:31,2988,2988.63,2990.31,2985.59,6700
9/18/2020 10:32,2990.11,2989.99,2995.76,2988.5,7334
9/18/2020 10:33,2990.88,2989.6,2992.04,2988.55,2286
9/18/2020 10:34,2990.34,2986,2990.59,2986,4218
9/18/2020 10:35,2987.06,2986.26,2989.86,2984,7075
9/18/2020 10:36,2987,2983,2987.74,2983,3160
9/18/2020 10:37,2985.98,2985,2989.65,2983.4,6258
9/18/2020 10:38,2984.49,2988,2988,2983.91,3126
9/18/2020 10:39,2986.65,2985.88,2989.45,2981.04,7648
9/18/2020 10:40,2985.3,2984.02,2987.74,2981.31,3702
9/18/2020 10:41,2983.42,2980.78,2983.42,2978.83,5669
9/18/2020 10:42,2983.32,2984.91,2987.6,2982.31,4727
9/18/2020 10:43,2984,2985.08,2985.08,2982.43,2143
9/18/2020 10:44,2985.35,2984.07,2988.51,2984.07,4920
9/18/2020 10:45,2984.51,2979.79,2985.25,2978.84,6888
9/18/2020 10:46,2979.68,2977.3,2980.86,2973,12449
9/18/2020 10:47,2976.6,2973.72,2978,2973.72,5116
9/18/2020 10:48,2975.38,2976.73,2979.02,2974,11719
9/18/2020 10:49,2978.99,2975.2,2978.99,2972.43,8475
9/18/2020 10:50,2973.29,2976,2976,2972.55,7523
9/18/2020 10:51,2975.06,2975.05,2976.96,2973.46,6646
9/18/2020 10:52,2975.49,2970.56,2976.36,2968,12791
9/18/2020 10:53,2970.29,2967.17,2971,2964.35,5556
9/18/2020 10:54,2967.25,2963.53,2970,2962.1,14100
9/18/2020 10:55,2964.95,2964,2965.91,2962,11767
9/18/2020 10:56,2964.54,2966,2966.83,2963.38,8022
9/18/2020 10:57,2966,2966.5,2968.75,2964.95,4261
9/18/2020 10:58,2966.95,2966.08,2968.46,2965.01,7436
9/18/2020 10:59,2966.49,2965.72,2967.62,2964.25,5720
9/18/2020 11:00,2965.59,2963,2966.94,2962.2,3015
9/18/2020 11:01,2963.1,2956.63,2963.49,2956.4,10666
9/18/2020 11:02,2956.38,2957.76,2959.29,2956,5091
9/18/2020 11:03,2957.98,2958,2959.37,2956,4476
9/18/2020 11:04,2958,2962.92,2964,2956.82,9299
9/18/2020 11:05,2963.42,2970.52,2970.53,2963.42,8358
9/18/2020 11:06,2969.29,2970.28,2973,2967.8,9295
9/18/2020 11:07,2970,2972,2973.22,2970,3056
9/18/2020 11:08,2971.96,2968.01,2973,2968.01,4134
9/18/2020 11:09,2969,2971.26,2972.36,2968,6637
9/18/2020 11:10,2971,2965.1,2971,2965.1,5633
