Dates,Open,Close,High,Low,Volume
10/29/2020 9:30,2.8,2.82,2.835,2.78,127864
10/29/2020 9:31,2.82,2.8242,2.83,2.81,78351
10/29/2020 9:32,2.825,2.815,2.83,2.815,25456
10/29/2020 9:33,2.81,2.8,2.81,2.79,27370
10/29/2020 9:34,2.8,2.785,2.8,2.78,45617
10/29/2020 9:35,2.78,2.765,2.78,2.75,48732
10/29/2020 9:36,2.77,2.78,2.79,2.765,97365
10/29/2020 9:37,2.7778,2.79,2.79,2.77,40914
10/29/2020 9:38,2.79,2.8,2.81,2.7885,77429
10/29/2020 9:39,2.795,2.78,2.795,2.77,95069
10/29/2020 9:40,2.7716,2.77,2.78,2.76,38909
10/29/2020 9:41,2.7607,2.7599,2.77,2.75,147549
10/29/2020 9:42,2.76,2.7616,2.77,2.75,52460
10/29/2020 9:43,2.77,2.77,2.77,2.76,113710
10/29/2020 9:44,2.77,2.765,2.77,2.76,47131
10/29/2020 9:45,2.765,2.755,2.77,2.75,73760
10/29/2020 9:46,2.76,2.7551,2.76,2.75,75572
10/29/2020 9:47,2.755,2.7515,2.76,2.75,28075
10/29/2020 9:48,2.76,2.78,2.78,2.76,98434
10/29/2020 9:49,2.7766,2.775,2.78,2.77,26813
10/29/2020 9:50,2.775,2.77,2.7767,2.76,29387
10/29/2020 9:51,2.765,2.765,2.77,2.76,44090
10/29/2020 9:52,2.765,2.78,2.78,2.765,42239
10/29/2020 9:53,2.775,2.785,2.79,2.77,32324
10/29/2020 9:54,2.785,2.785,2.79,2.7808,26524
10/29/2020 9:55,2.79,2.795,2.8,2.785,9854
10/29/2020 9:56,2.8,2.795,2.8,2.7904,12693
10/29/2020 9:57,2.795,2.795,2.8,2.79,74977
10/29/2020 9:58,2.79,2.795,2.8,2.79,21373
10/29/2020 9:59,2.795,2.785,2.8,2.785,51600
10/29/2020 10:00,2.78,2.785,2.79,2.78,31900
10/29/2020 10:01,2.79,2.795,2.8,2.785,40091
10/29/2020 10:02,2.8,2.805,2.805,2.8,39357
10/29/2020 10:03,2.81,2.82,2.82,2.8074,10920
10/29/2020 10:04,2.81,2.8012,2.8182,2.8,34724
10/29/2020 10:05,2.8047,2.795,2.81,2.79,34991
10/29/2020 10:06,2.795,2.795,2.7983,2.79,9600
10/29/2020 10:07,2.79,2.79,2.8,2.79,24900
10/29/2020 10:08,2.785,2.775,2.789,2.77,62556
10/29/2020 10:09,2.775,2.765,2.779,2.76,73766
10/29/2020 10:10,2.76,2.765,2.77,2.76,54581
10/29/2020 10:11,2.77,2.77,2.78,2.76,59932
10/29/2020 10:12,2.77,2.78,2.79,2.77,72213
10/29/2020 10:13,2.785,2.77,2.79,2.77,39607
10/29/2020 10:14,2.77,2.775,2.775,2.77,323335
10/29/2020 10:15,2.775,2.74,2.78,2.74,248141
10/29/2020 10:16,2.75,2.735,2.75,2.73,88548
10/29/2020 10:17,2.7353,2.7353,2.74,2.73,83508
10/29/2020 10:18,2.74,2.7447,2.75,2.73,66075
10/29/2020 10:19,2.7483,2.755,2.76,2.7401,72348
10/29/2020 10:20,2.76,2.76,2.76,2.75,18646
