Dates,Open,Close,High,Low,Volume
9/18/2020 9:30,37.53,37.54,37.66,37.49,52076
9/18/2020 9:31,37.53,37.56,37.58,37.47,14765
9/18/2020 9:32,37.57,37.62,37.715,37.53,3918589
9/18/2020 9:33,37.615,37.66,37.74,37.59,99733
9/18/2020 9:34,37.66,37.81,37.8235,37.66,58389
9/18/2020 9:35,37.81,37.62,37.81,37.62,97824
9/18/2020 9:36,37.62,37.63,37.66,37.6,91362
9/18/2020 9:37,37.62,37.54,37.63,37.525,77902
9/18/2020 9:38,37.53,37.575,37.63,37.53,51622
9/18/2020 9:39,37.58,37.57,37.62,37.51,56186
9/18/2020 9:40,37.575,37.495,37.6053,37.46,73746
9/18/2020 9:41,37.495,37.4321,37.52,37.4321,53860
9/18/2020 9:42,37.43,37.48,37.5,37.4,67385
9/18/2020 9:43,37.465,37.47,37.5,37.45,55755
9/18/2020 9:44,37.47,37.41,37.47,37.4,29213
9/18/2020 9:45,37.42,37.35,37.44,37.35,72063
9/18/2020 9:46,37.34,37.33,37.344,37.27,89961
9/18/2020 9:47,37.33,37.28,37.355,37.245,140468
9/18/2020 9:48,37.28,37.235,37.3,37.225,62609
9/18/2020 9:49,37.24,37.17,37.25,37.16,92125
9/18/2020 9:50,37.17,37.13,37.24,37.1,99312
9/18/2020 9:51,37.13,37.13,37.14,37.11,49786
9/18/2020 9:52,37.13,37.167,37.185,37.11,113626
9/18/2020 9:53,37.16,37.2,37.21,37.14,79974
9/18/2020 9:54,37.2,37.135,37.2,37.12,57039
9/18/2020 9:55,37.135,37.14,37.15,37.06,135685
9/18/2020 9:56,37.14,37.12,37.17,37.12,55317
9/18/2020 9:57,37.115,37.1084,37.13,37.08,69641
9/18/2020 9:58,37.1,37.055,37.1,37.01,105812
9/18/2020 9:59,37.06,37.06,37.085,37.04,48353
9/18/2020 10:00,37.07,37.1,37.115,37.03,51270
9/18/2020 10:01,37.085,37.1,37.12,37.07,43986
9/18/2020 10:02,37.11,37.155,37.1984,37.09,60637
9/18/2020 10:03,37.15,37.125,37.17,37.12,49911
9/18/2020 10:04,37.12,37.1419,37.155,37.1058,31065
9/18/2020 10:05,37.14,37.11,37.15,37.1,48733
9/18/2020 10:06,37.11,37.1401,37.15,37.07,63202
9/18/2020 10:07,37.14,37.19,37.21,37.14,50902
9/18/2020 10:08,37.195,37.185,37.1984,37.15,30715
9/18/2020 10:09,37.185,37.1888,37.2199,37.185,42639
9/18/2020 10:10,37.19,37.17,37.24,37.17,35171
9/18/2020 10:11,37.17,37.215,37.215,37.165,56377
9/18/2020 10:12,37.21,37.22,37.23,37.195,53679
9/18/2020 10:13,37.2213,37.245,37.245,37.19,34664
9/18/2020 10:14,37.2472,37.295,37.3098,37.23,44793
9/18/2020 10:15,37.295,37.32,37.34,37.26,86329
9/18/2020 10:16,37.31,37.3358,37.3784,37.31,43901
9/18/2020 10:17,37.33,37.3646,37.375,37.33,31592
9/18/2020 10:18,37.36,37.333,37.3684,37.333,23787
9/18/2020 10:19,37.335,37.38,37.38,37.31,135428
9/18/2020 10:20,37.38,37.38,37.397,37.36,49842
9/18/2020 10:21,37.385,37.395,37.395,37.36,24020
9/18/2020 10:22,37.4,37.415,37.45,37.38,178502
9/18/2020 10:23,37.405,37.48,37.5,37.405,71401
9/18/2020 10:24,37.48,37.455,37.49,37.454,82530
9/18/2020 10:25,37.4563,37.4959,37.5,37.43,53274
9/18/2020 10:26,37.495,37.495,37.5277,37.4911,59174
9/18/2020 10:27,37.49,37.5135,37.52,37.48,26459
9/18/2020 10:28,37.515,37.535,37.5367,37.49,40699
9/18/2020 10:29,37.53,37.52,37.5678,37.51,30827
9/18/2020 10:30,37.51,37.485,37.52,37.45,56823
9/18/2020 10:31,37.48,37.49,37.51,37.47,42663
9/18/2020 10:32,37.49,37.46,37.51,37.45,60275
9/18/2020 10:33,37.46,37.49,37.49,37.4524,70455
9/18/2020 10:34,37.485,37.475,37.5,37.4626,43229
9/18/2020 10:35,37.48,37.445,37.49,37.44,64768
9/18/2020 10:36,37.43,37.4,37.45,37.39,84924
9/18/2020 10:37,37.4,37.395,37.4184,37.3701,40823
9/18/2020 10:38,37.4,37.435,37.435,37.395,24512
9/18/2020 10:39,37.435,37.445,37.46,37.42,39951
9/18/2020 10:40,37.45,37.42,37.45,37.41,35555
9/18/2020 10:41,37.415,37.43,37.43,37.41,15583
9/18/2020 10:42,37.4345,37.44,37.445,37.41,36982
9/18/2020 10:43,37.44,37.395,37.44,37.39,50860
9/18/2020 10:44,37.4,37.4,37.41,37.38,36554
9/18/2020 10:45,37.4,37.37,37.4,37.362,49287
9/18/2020 10:46,37.365,37.35,37.365,37.325,40289
9/18/2020 10:47,37.3477,37.32,37.35,37.31,36090
9/18/2020 10:48,37.3156,37.35,37.36,37.31,29873
9/18/2020 10:49,37.3433,37.34,37.3433,37.3,45470
9/18/2020 10:50,37.34,37.2711,37.3489,37.27,39758
9/18/2020 10:51,37.275,37.265,37.29,37.26,30260
9/18/2020 10:52,37.2601,37.245,37.27,37.245,51246
9/18/2020 10:53,37.24,37.22,37.251,37.19,101902
9/18/2020 10:54,37.2101,37.17,37.2282,37.1503,35644
9/18/2020 10:55,37.175,37.17,37.2097,37.17,33585
9/18/2020 10:56,37.17,37.14,37.18,37.12,55580
9/18/2020 10:57,37.14,37.155,37.17,37.14,33398
9/18/2020 10:58,37.1516,37.1549,37.18,37.15,52281
9/18/2020 10:59,37.16,37.14,37.18,37.14,82973
9/18/2020 11:00,37.14,37.2,37.205,37.13,68117
9/18/2020 11:01,37.2,37.19,37.2299,37.19,44219
